,-1,0,1
tanh_tanh,0.8673894912427023,0.7948290241868223,0.8690575479566305
tanh_sigmoid,0.8798999165971643,0.7964970809007507,0.8582151793160967
tanh_relu,0.8707256046705588,0.7889908256880734,0.8882402001668057
tanh_elu,0.8790658882402002,0.7889908256880734,0.8482068390325271
sigmoid_tanh,0.8790658882402002,0.7589658048373644,0.8432026688907422
sigmoid_sigmoid,0.8657214345287739,0.7664720600500416,0.8490408673894912
sigmoid_relu,0.8532110091743119,0.7539616346955796,0.8573811509591326
sigmoid_elu,0.8390325271059216,0.7764804003336113,0.8256880733944955
relu_tanh,0.9007506255212677,0.7881567973311092,0.8490408673894912
relu_sigmoid,0.9157631359466222,0.7814845704753962,0.8381984987489575
relu_relu,0.9074228523769808,0.7906588824020017,0.33194328607172646
relu_elu,0.8773978315262719,0.7639699749791493,0.8507089241034195
elu_tanh,0.8765638031693077,0.786488740617181,0.8573811509591326
elu_sigmoid,0.9115929941618015,0.7789824854045038,0.8490408673894912
elu_relu,0.8732276897414513,0.7931609674728941,0.8940783986655546
elu_elu,0.8849040867389492,0.8065054211843202,0.8707256046705588
